pred,obs
11,14
11,23
25,25
15,15
26,21
25,0
17,17
26,26
6,6
24,24
4,4
1,1
15,15
18,19
9,9
8,8
1,1
4,8
14,14
17,17
5,5
26,26
13,13
19,6
5,5
16,0
26,11
9,9
26,26
19,17
20,20
22,22
23,23
0,0
24,24
26,26
8,21
2,2
9,9
19,19
18,18
8,8
4,4
12,12
14,8
12,0
14,14
2,2
10,10
12,7
14,15
17,17
14,14
18,18
10,10
11,23
0,11
20,20
0,0
10,21
20,20
20,20
8,8
10,10
5,5
2,2
2,2
15,15
18,18
5,5
17,17
15,15
9,19
26,26
21,21
14,14
26,26
18,18
4,4
17,20
5,5
3,3
12,12
16,16
13,13
14,8
3,3
2,2
7,4
22,9
19,17
5,5
14,14
22,22
11,12
6,6
13,12
10,10
20,20
11,11
20,18
9,9
22,22
21,13
18,18
7,24
7,7
20,4
14,14
20,20
13,4
10,10
13,20
21,21
6,21
9,23
21,19
20,20
2,12
0,12
4,4
2,2
0,11
6,6
16,16
26,26
7,7
22,22
11,11
10,23
15,15
10,10
15,15
9,9
4,4
19,6
21,11
19,6
6,6
22,22
22,16
7,7
1,1
25,25
19,6
18,19
4,7
14,3
12,12
11,11
16,22
22,16
3,3
7,7
23,23
5,5
16,16
22,22
0,0
13,6
3,3
0,0
10,23
21,21
12,8
22,22
0,0
0,0
1,1
2,2
0,0
7,7
17,17
20,20
12,8
26,26
13,10
22,23
25,25
2,12
20,20
8,8
3,13
22,22
18,20
5,18
21,21
20,20
10,10
15,15
7,4
18,18
5,5
16,19
18,18
0,0
7,7
24,24
0,4
2,2
21,21
15,15
9,16
20,20
26,26
0,0
16,6
9,9
10,10
25,25
4,23
19,6
4,4
16,16
9,9
24,24
25,25
17,17
5,5
10,10
10,10
3,3
11,12
18,18
3,3
4,12
20,20
6,17
15,15
0,0
13,13
3,3
11,11
6,21
1,1
4,4
22,22
13,11
0,0
2,2
17,17
8,4
23,10
4,4
23,15
15,25
20,20
24,24
3,3
10,16
14,14
16,16
19,19
7,7
16,23
2,2
7,7
21,21
5,6
24,24
2,2
19,21
22,22
0,0
1,1
6,6
26,19
22,22
6,6
11,11
7,6
9,9
19,17
1,1
2,2
10,6
23,23
6,19
23,23
16,16
16,11
19,19
1,1
14,6
2,2
3,3
12,14
21,18
15,15
0,0
21,21
10,9
18,18
12,5
25,25
22,10
13,13
6,6
23,23
3,3
13,4
4,7
0,0
24,11
8,14
2,2
4,8
26,16
14,4
3,4
12,12
4,7
18,18
3,3
24,24
23,3
15,15
12,13
13,23
22,22
18,18
3,3
2,2
9,9
8,14
0,24
26,26
25,25
23,23
0,0
3,13
4,4
12,12
9,9
21,21
24,24
25,25
9,9
26,23
3,3
1,1
19,19
8,8
20,20
8,11
16,16
13,13
21,21
5,5
6,6
2,2
14,14
26,26
22,22
10,10
12,11
24,24
8,10
19,19
6,21
8,8
17,8
22,22
22,16
16,16
19,19
15,15
5,5
11,11
24,12
24,24
26,26
23,23
24,24
11,11
16,16
9,9
14,26
6,19
10,23
2,2
8,14
24,24
23,14
1,1
26,26
6,6
16,16
18,18
20,20
22,22
19,19
14,14
24,24
9,9
19,6
4,4
14,14
22,10
24,24
7,7
19,6
10,10
25,4
16,16
12,12
3,3
5,5
22,22
24,24
14,14
17,17
10,10
4,4
15,15
3,3
17,12
23,0
16,16
8,8
9,9
22,22
25,25
4,4
12,12
4,6
25,25
16,16
4,4
19,19
8,8
23,23
17,17
1,1
23,14
24,24
16,22
18,18
7,6
7,7
2,2
7,6
24,5
19,18
22,22
15,0
22,5
11,9
0,0
1,1
15,15
2,2
14,13
0,0
12,12
23,3
10,10
5,5
11,11
15,15
12,10
3,3
7,7
5,5
21,18
5,5
15,15
25,25
3,0
7,7
13,13
18,18
15,15
12,10
26,26
2,2
9,9
2,2
7,4
12,12
2,2
13,4
23,23
21,21
5,5
17,17
12,2
26,26
24,24
22,22
23,23
18,18
12,12
3,3
19,19
3,3
14,14
1,1
15,15
25,25
26,25
24,24
16,16
3,3
6,6
17,17
17,17
23,14
26,26
19,19
13,13
10,22
7,7
16,16
9,9
10,10
11,23
11,11
3,3
20,20
0,0
19,19
18,20
9,9
26,26
22,16
26,23
7,7
18,18
1,1
23,23
18,25
24,24
18,17
20,20
23,5
14,14
26,26
0,0
15,15
14,14
22,19
7,7
19,19
23,3
24,24
17,17
24,24
26,26
8,8
0,11
6,6
24,24
24,24
6,19
21,21
21,10
21,21
22,22
18,21
15,15
4,4
20,20
5,5
4,13
15,19
20,20
8,8
22,22
15,15
12,6
5,5
22,22
7,12
21,13
3,3
7,7
0,0
23,23
20,20
4,4
2,2
7,4
13,13
8,10
13,19
22,22
22,22
3,1
16,22
15,15
7,7
25,25
5,5
15,15
15,15
18,18
9,9
17,24
15,15
1,1
21,21
14,17
5,5
26,26
26,26
7,0
23,25
19,19
21,8
19,6
15,14
14,14
15,15
8,8
25,25
3,3
15,15
16,16
15,15
9,9
24,24
17,17
18,8
8,8
22,19
9,9
3,3
25,25
13,13
7,4
7,7
21,21
15,12
9,16
2,2
5,0
12,12
25,25
14,19
10,6
17,17
16,16
10,10
2,2
21,21
4,4
7,7
19,10
16,16
12,11
14,14
8,8
13,10
7,7
4,25
16,16
15,15
4,8
9,9
11,23
2,2
7,6
21,10
9,9
4,4
15,15
14,14
19,10
9,6
14,14
7,4
17,15
2,2
8,26
20,20
17,17
20,20
10,10
4,7
0,0
9,9
21,21
2,2
12,12
8,19
19,21
7,7
10,10
6,0
18,18
18,18
4,7
11,11
14,14
4,4
10,10
10,10
23,12
13,13
12,23
22,19
20,20
17,17
2,2
20,3
19,19
1,1
13,13
25,25
24,24
4,4
8,6
24,24
15,0
20,20
19,21
20,20
19,6
21,21
10,18
23,23
12,12
18,18
4,4
26,26
12,20
3,23
8,6
3,3
8,11
21,21
3,3
12,8
1,1
24,24
14,13
23,2
7,7
3,23
5,5
0,0
11,11
2,2
8,18
2,2
